--------- beginning of main
02-12 21:48:54.113 D/KeyboardManager( 5517): adjustPositionForKeyboard: screenHeight=2340, keyboardHeight=995, buttonSize=135, margin=202
02-12 21:48:54.115 D/KeyboardManager( 5517): adjustPositionForKeyboard: keyboardTop=1345, safeZoneY=1008, statusBarHeight=74, minY=74
02-12 21:48:54.115 D/KeyboardManager( 5517): adjustPositionForKeyboard: FINAL - currentY=1008, safeZoneY=1008, newY=1008, willMove=false
02-12 21:48:54.211 D/KeyboardManager( 5517): adjustPositionForKeyboard: screenHeight=2340, keyboardHeight=995, buttonSize=135, margin=202
02-12 21:48:54.213 D/KeyboardManager( 5517): adjustPositionForKeyboard: keyboardTop=1345, safeZoneY=1008, statusBarHeight=74, minY=74
02-12 21:48:54.213 D/KeyboardManager( 5517): adjustPositionForKeyboard: FINAL - currentY=1008, safeZoneY=1008, newY=1008, willMove=false
02-12 21:48:54.294 D/KeyboardManager( 5517): adjustPositionForKeyboard: screenHeight=2340, keyboardHeight=995, buttonSize=135, margin=202
02-12 21:48:54.295 D/KeyboardManager( 5517): adjustPositionForKeyboard: keyboardTop=1345, safeZoneY=1008, statusBarHeight=74, minY=74
02-12 21:48:54.295 D/KeyboardManager( 5517): adjustPositionForKeyboard: FINAL - currentY=1008, safeZoneY=1008, newY=1008, willMove=false
02-12 21:48:54.405 D/KeyboardManager( 5517): adjustPositionForKeyboard: screenHeight=2340, keyboardHeight=995, buttonSize=135, margin=202
02-12 21:48:54.407 D/KeyboardManager( 5517): adjustPositionForKeyboard: keyboardTop=1345, safeZoneY=1008, statusBarHeight=74, minY=74
02-12 21:48:54.407 D/KeyboardManager( 5517): adjustPositionForKeyboard: FINAL - currentY=1008, safeZoneY=1008, newY=1008, willMove=false
02-12 21:48:54.521 D/KeyboardManager( 5517): adjustPositionForKeyboard: screenHeight=2340, keyboardHeight=995, buttonSize=135, margin=202
02-12 21:48:54.523 D/KeyboardManager( 5517): adjustPositionForKeyboard: keyboardTop=1345, safeZoneY=1008, statusBarHeight=74, minY=74
02-12 21:48:54.523 D/KeyboardManager( 5517): adjustPositionForKeyboard: FINAL - currentY=1008, safeZoneY=1008, newY=1008, willMove=false
02-12 21:48:54.621 D/KeyboardManager( 5517): adjustPositionForKeyboard: screenHeight=2340, keyboardHeight=995, buttonSize=135, margin=202
